Label.Number,Label.Name,JLF.Column.Names,Volume,GMD,CT,PCASL,rest,idemo,nback,MD,RD,AD,FA
148,Right MPoG,%MODALITY%_jlf_%MEASURE%_R_MPoG,0,0,0,0,0,0,0,0,0,0,1
149,Left MPoG,%MODALITY%_jlf_%MEASURE%_L_MPoG,0,0,0,0,0,0,0,0,0,0,1
150,Right MPrG,%MODALITY%_jlf_%MEASURE%_R_MPrG,0,0,0,0,0,0,0,0,0,0,1
151,Left MPrG,%MODALITY%_jlf_%MEASURE%_L_MPrG,0,0,0,0,0,0,0,0,0,0,1
152,Right MSFG,%MODALITY%_jlf_%MEASURE%_R_MSFG,0,0,0,0,0,0,0,0,0,0,1
153,Left MSFG,%MODALITY%_jlf_%MEASURE%_L_MSFG,0,0,0,0,0,0,0,0,0,0,1
154,Right MTG,%MODALITY%_jlf_%MEASURE%_R_MTG,0,0,0,0,0,0,0,0,0,0,1
155,Left MTG,%MODALITY%_jlf_%MEASURE%_L_MTG,0,0,0,0,0,0,0,0,0,0,1
156,Right OCP,%MODALITY%_jlf_%MEASURE%_R_OCP,0,0,0,0,0,0,0,0,0,0,1
157,Left OCP,%MODALITY%_jlf_%MEASURE%_L_OCP,0,0,0,0,0,0,0,0,0,0,1
160,Right OFuG,%MODALITY%_jlf_%MEASURE%_R_OFuG,0,0,0,0,0,0,0,0,0,0,1
161,Left OFuG,%MODALITY%_jlf_%MEASURE%_L_OFuG,0,0,0,0,0,0,0,0,0,0,1
162,Right OpIFG,%MODALITY%_jlf_%MEASURE%_R_OpIFG,0,0,0,0,0,0,0,0,0,0,1
163,Left OpIFG,%MODALITY%_jlf_%MEASURE%_L_OpIFG,0,0,0,0,0,0,0,0,0,0,1
164,Right OrIFG,%MODALITY%_jlf_%MEASURE%_R_OrIFG,0,0,0,0,0,0,0,0,0,0,1
165,Left OrIFG,%MODALITY%_jlf_%MEASURE%_L_OrIFG,0,0,0,0,0,0,0,0,0,0,1
166,Right PCgG,%MODALITY%_jlf_%MEASURE%_R_PCgG,0,0,0,0,0,0,0,0,0,0,1
167,Left PCgG,%MODALITY%_jlf_%MEASURE%_L_PCgG,0,0,0,0,0,0,0,0,0,0,1
168,Right PCu,%MODALITY%_jlf_%MEASURE%_R_PCu,0,0,0,0,0,0,0,0,0,0,1
169,Left PCu,%MODALITY%_jlf_%MEASURE%_L_PCu,0,0,0,0,0,0,0,0,0,0,1
170,Right PHG,%MODALITY%_jlf_%MEASURE%_R_PHG,0,0,0,0,0,0,0,0,0,0,1
171,Left PHG,%MODALITY%_jlf_%MEASURE%_L_PHG,0,0,0,0,0,0,0,0,0,0,1
172,Right PIns,%MODALITY%_jlf_%MEASURE%_R_PIns,0,0,0,0,0,0,0,0,0,0,1
173,Left PIns,%MODALITY%_jlf_%MEASURE%_L_PIns,0,0,0,0,0,0,0,0,0,0,1
174,Right PO,%MODALITY%_jlf_%MEASURE%_R_PO,0,0,0,0,0,0,0,0,0,0,1
175,Left PO,%MODALITY%_jlf_%MEASURE%_L_PO,0,0,0,0,0,0,0,0,0,0,1
176,Right PoG,%MODALITY%_jlf_%MEASURE%_R_PoG,0,0,0,0,0,0,0,0,0,0,1
177,Left PoG,%MODALITY%_jlf_%MEASURE%_L_PoG,0,0,0,0,0,0,0,0,0,0,1
178,Right POrG,%MODALITY%_jlf_%MEASURE%_R_POrG,0,0,0,0,0,0,0,0,0,0,1
179,Left POrG,%MODALITY%_jlf_%MEASURE%_L_POrG,0,0,0,0,0,0,0,0,0,0,1
180,Right PP,%MODALITY%_jlf_%MEASURE%_R_PP,0,0,0,0,0,0,0,0,0,0,1
181,Left PP,%MODALITY%_jlf_%MEASURE%_L_PP,0,0,0,0,0,0,0,0,0,0,1
182,Right PrG,%MODALITY%_jlf_%MEASURE%_R_PrG,0,0,0,0,0,0,0,0,0,0,1
183,Left PrG,%MODALITY%_jlf_%MEASURE%_L_PrG,0,0,0,0,0,0,0,0,0,0,1
184,Right PT,%MODALITY%_jlf_%MEASURE%_R_PT,0,0,0,0,0,0,0,0,0,0,1
185,Left PT,%MODALITY%_jlf_%MEASURE%_L_PT,0,0,0,0,0,0,0,0,0,0,1
186,Right SCA,%MODALITY%_jlf_%MEASURE%_R_SCA,0,0,0,0,0,0,0,0,0,0,1
187,Left SCA,%MODALITY%_jlf_%MEASURE%_L_SCA,0,0,0,0,0,0,0,0,0,0,1
190,Right SFG,%MODALITY%_jlf_%MEASURE%_R_SFG,0,0,0,0,0,0,0,0,0,0,1
191,Left SFG,%MODALITY%_jlf_%MEASURE%_L_SFG,0,0,0,0,0,0,0,0,0,0,1
192,Right SMC,%MODALITY%_jlf_%MEASURE%_R_SMC,0,0,0,0,0,0,0,0,0,0,1
193,Left SMC,%MODALITY%_jlf_%MEASURE%_L_SMC,0,0,0,0,0,0,0,0,0,0,1
194,Right SMG,%MODALITY%_jlf_%MEASURE%_R_SMG,0,0,0,0,0,0,0,0,0,0,1
195,Left SMG,%MODALITY%_jlf_%MEASURE%_L_SMG,0,0,0,0,0,0,0,0,0,0,1
196,Right SOG,%MODALITY%_jlf_%MEASURE%_R_SOG,0,0,0,0,0,0,0,0,0,0,1
197,Left SOG,%MODALITY%_jlf_%MEASURE%_L_SOG,0,0,0,0,0,0,0,0,0,0,1
198,Right SPL,%MODALITY%_jlf_%MEASURE%_R_SPL,0,0,0,0,0,0,0,0,0,0,1
199,Left SPL,%MODALITY%_jlf_%MEASURE%_L_SPL,0,0,0,0,0,0,0,0,0,0,1
200,Right STG,%MODALITY%_jlf_%MEASURE%_R_STG,0,0,0,0,0,0,0,0,0,0,1
201,Left STG,%MODALITY%_jlf_%MEASURE%_L_STG,0,0,0,0,0,0,0,0,0,0,1
202,Right TMP,%MODALITY%_jlf_%MEASURE%_R_TMP,0,0,0,0,0,0,0,0,0,0,1
203,Left TMP,%MODALITY%_jlf_%MEASURE%_L_TMP,0,0,0,0,0,0,0,0,0,0,1
204,Right TrIFG,%MODALITY%_jlf_%MEASURE%_R_TrIFG,0,0,0,0,0,0,0,0,0,0,1
205,Left TrIFG,%MODALITY%_jlf_%MEASURE%_L_TrIFG,0,0,0,0,0,0,0,0,0,0,1
206,Right TTG,%MODALITY%_jlf_%MEASURE%_R_TTG,0,0,0,0,0,0,0,0,0,0,1
207,Left TTG,%MODALITY%_jlf_%MEASURE%_L_TTG,0,0,0,0,0,0,0,0,0,0,1
